sample_name,variable,category,unweighted_n,public_unweighted_n,weighted_n,weighted_pct,public_weighted_pct,disclosure_rule
main_grade_10_12,stat_a_H1HS9_yesno,Yes,232,232,697621.476636519,6.703622885535178,6.70,reported
main_grade_10_12,stat_a_H1CO16A_yesno,No,1704,1704,5431888.629552216,96.91303973080745,96.91,reported
main_grade_10_12,stat_a_H1CO16A_yesno,Yes,59,59,173021.344007809,3.0869602691925566,3.09,reported
main_grade_10_12,stat_a_H1CO16C_yesno,No,1739,1739,5542962.269078346,98.81657538216886,98.82,reported
main_grade_10_12,stat_a_H1CO16C_yesno,Yes,25,25,66382.365302251,1.1834246178311554,1.18,reported
strict_grade_10_12_age_15_19,stat_grade,Grade 10,1140,1140,3592058.732410808,34.69906374099469,34.70,reported
strict_grade_10_12_age_15_19,stat_grade,Grade 11,1118,1118,3295332.063299169,31.832702589308404,31.83,reported
strict_grade_10_12_age_15_19,stat_grade,Grade 12,982,982,3464642.790046472,33.46823366969691,33.47,reported
strict_grade_10_12_age_15_19,stat_age_group,15-19,3240,3240,10352033.585756449,100,100.00,reported
strict_grade_10_12_age_15_19,stat_sex,Male,3240,3240,10352033.585756449,100,100.00,reported
strict_grade_10_12_age_15_19,stat_main_sample,Grade 10-12,3240,3240,10352033.585756449,100,100.00,reported
strict_grade_10_12_age_15_19,stat_strict_sample,Grade 10-12 and age 15-19,3240,3240,10352033.585756449,100,100.00,reported
strict_grade_10_12_age_15_19,stat_sex_ever,No,1453,1453,4638321.317558955,45.39479129894834,45.39,reported
strict_grade_10_12_age_15_19,stat_sex_ever,Yes,1755,1755,5579417.73319071,54.60520870105166,54.61,reported
strict_grade_10_12_age_15_19,stat_a_H1CO8_yesno,No,154,154,473098.880383912,36.632664060447944,36.63,reported
strict_grade_10_12_age_15_19,stat_a_H1CO8_yesno,Yes,244,244,818368.427599058,63.367335939552056,63.37,reported
strict_grade_10_12_age_15_19,stat_a_H1CO3_yesno,No,550,550,1733046.790174853,31.222055725219718,31.22,reported
strict_grade_10_12_age_15_19,stat_a_H1CO3_yesno,Yes,1196,1196,3817666.47940329,68.77794427478028,68.78,reported
strict_grade_10_12_age_15_19,stat_a_H1CO6_yesno,No,541,541,1705825.553271177,30.862143026781595,30.86,reported
strict_grade_10_12_age_15_19,stat_a_H1CO6_yesno,Yes,1197,1197,3821417.165391922,69.1378569732184,69.14,reported
strict_grade_10_12_age_15_19,stat_a_H1CO13_yesno,No,118,118,348506.206671377,22.98272085570185,22.98,reported
strict_grade_10_12_age_15_19,stat_a_H1CO13_yesno,Yes,360,360,1167877.379325644,77.01727914429814,77.02,reported
strict_grade_10_12_age_15_19,stat_a_H1FP7_yesno,No,731,731,2313946.38515456,82.2872380325925,82.29,reported
strict_grade_10_12_age_15_19,stat_a_H1FP7_yesno,Yes,161,161,498089.163101474,17.712761967407506,17.71,reported
strict_grade_10_12_age_15_19,stat_a_H1CO16D_yesno,No,1752,1752,5572843.4107657485,99.9552998576377,99.96,reported
strict_grade_10_12_age_15_19,stat_a_H1CO16D_yesno,Yes,1,<10,2492.182947566,0.04470014236230296,suppressed,suppressed_small_cell
strict_grade_10_12_age_15_19,stat_a_H1HS9_yesno,No,3008,3008,9655282.883478371,93.35764671146968,93.36,reported
strict_grade_10_12_age_15_19,stat_a_H1HS9_yesno,Yes,229,229,686968.901550983,6.642353288530319,6.64,reported
strict_grade_10_12_age_15_19,stat_a_H1CO16A_yesno,No,1695,1695,5406212.751409736,96.98006929613544,96.98,reported
strict_grade_10_12_age_15_19,stat_a_H1CO16A_yesno,Yes,58,58,168347.867743347,3.019930703864573,3.02,reported
strict_grade_10_12_age_15_19,stat_a_H1CO16C_yesno,No,1728,1728,5508953.228411063,98.80935659950045,98.81,reported
strict_grade_10_12_age_15_19,stat_a_H1CO16C_yesno,Yes,25,25,66382.365302251,1.1906434004995685,1.19,reported
