variable_name,variable_label,variable_class,n_observations,n_missing,n_nonmissing,pct_missing,pct_nonmissing,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
H1TS8,S4Q8 LEARNED-AIDS-W1,haven_labelled,6504,15,6489,0.23,99.77,3,TRUE,FALSE,FALSE,FALSE
H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,haven_labelled,6504,55,6449,0.85,99.15,6,TRUE,FALSE,FALSE,FALSE
H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,haven_labelled,6504,81,6423,1.25,98.75,6,TRUE,FALSE,FALSE,FALSE
H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,haven_labelled,6504,2111,4393,32.46,67.54,6,TRUE,FALSE,FALSE,FALSE
H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,haven_labelled,6504,2114,4390,32.5,67.5,6,TRUE,FALSE,FALSE,FALSE
H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,haven_labelled,6504,1868,4636,28.72,71.28,6,TRUE,FALSE,FALSE,FALSE
H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,haven_labelled,6504,1833,4671,28.18,71.82,6,TRUE,FALSE,FALSE,FALSE
H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,haven_labelled,6504,1852,4652,28.47,71.53,6,TRUE,FALSE,FALSE,FALSE
H1BC3,S27Q3 TOO MUCH PLANNING-W1,haven_labelled,6504,1849,4655,28.43,71.57,6,TRUE,FALSE,FALSE,FALSE
H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,haven_labelled,6504,1858,4646,28.57,71.43,6,TRUE,FALSE,FALSE,FALSE
H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,haven_labelled,6504,1882,4622,28.94,71.06,6,TRUE,FALSE,FALSE,FALSE
H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,haven_labelled,6504,1827,4677,28.09,71.91,6,TRUE,FALSE,FALSE,FALSE
H1BC8,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,haven_labelled,6504,1864,4640,28.66,71.34,6,TRUE,FALSE,FALSE,FALSE
H1MO1,S17Q1 IF SEX GAIN MORE RESPECT-W1,haven_labelled,6504,2147,4357,33.01,66.99,6,TRUE,FALSE,FALSE,FALSE
H1MO2,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,haven_labelled,6504,2168,4336,33.33,66.67,6,TRUE,FALSE,FALSE,FALSE
H1MO3,S17Q3 IF SEX WOULD FEEL GUILTY-W1,haven_labelled,6504,2161,4343,33.23,66.77,6,TRUE,FALSE,FALSE,FALSE
H1MO5,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,haven_labelled,6504,2207,4297,33.93,66.07,6,TRUE,FALSE,FALSE,FALSE
H1PA3,S34Q3 MOM-USE OF BIRTHCONTROL-W1,haven_labelled,6504,481,6023,7.4,92.6,6,TRUE,FALSE,FALSE,FALSE
H1PA6,S34Q6 DAD-USE OF BIRTHCONTROL-W1,haven_labelled,6504,2271,4233,34.92,65.08,6,TRUE,FALSE,FALSE,FALSE
H1PA7,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,haven_labelled,6504,115,6389,1.77,98.23,3,TRUE,FALSE,FALSE,FALSE
H1PR3,S35Q3 PARENTS CARE ABOUT YOU-W1,haven_labelled,6504,24,6480,0.37,99.63,7,TRUE,FALSE,FALSE,FALSE
H1PR5,S35Q5 FAMILY UNDERSTAND YOU-W1,haven_labelled,6504,29,6475,0.45,99.55,7,TRUE,FALSE,FALSE,FALSE
H1PR7,S35Q7 FAMIYL HAS FUN TOGETHER-W1,haven_labelled,6504,29,6475,0.45,99.55,7,TRUE,FALSE,FALSE,FALSE
H1PR8,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,haven_labelled,6504,27,6477,0.42,99.58,7,TRUE,FALSE,FALSE,FALSE
H1WP9,S16Q9 CLOSE TO MOM-W1,haven_labelled,6504,375,6129,5.77,94.23,6,TRUE,FALSE,FALSE,FALSE
