model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE26,num_H1SE2,-17.315656667404177,0.7121196572968199,-24.31565606984334,1.174527916591673e-79,3.019297162185083e-8,7.477171967165605e-9,1.2191983003213716e-7,***,estimated,condom_or_contraceptive_use,sexual_behavior_related,16.305607329552124,17.315656667404177,p_lt_0_001,lower_odds,very_extreme_or_review,ci_width_not_extreme,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE25,num_H1SE2,15.873342941542262,0.8837610181302756,17.961125933258085,9.162881465738146e-53,7828981.176383787,1384945.499110988,44256576.377565965,***,estimated,condom_or_contraceptive_use,sexual_behavior_related,31.95546424460367,15.873342941542262,p_lt_0_001,higher_odds,very_extreme_or_review,wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE35,num_H1SE3,-1.6202114335435556,0.6230200451336743,-2.6005767329619793,0.00966701538700871,0.19785686108353656,0.05834796935287353,0.6709288757090559,**,estimated,condom_or_contraceptive_use,sexual_behavior_related,11.498752795516335,1.6202114335435556,p_lt_0_01,lower_odds,extreme_or_review,ci_width_not_extreme,no_automatic_overlap_flag,review_due_to_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1PA35,num_H1PA3,1.3653957424115668,0.5611789763504359,2.43308427427425,0.01542767285081001,3.9172729763415166,1.3040632263121272,11.767088636163026,*,estimated,condom_or_contraceptive_use,other,9.023403465980856,1.3653957424115668,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE32,num_H1SE3,-0.8131691043022856,0.35869114660097107,-2.267045373179791,0.02394428667416444,0.4434504961575872,0.21954374957385256,0.8957136922554906,*,estimated,condom_or_contraceptive_use,sexual_behavior_related,4.079887011104274,0.8131691043022856,p_lt_0_05,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1PA34,num_H1PA3,1.238661278389659,0.5542471309532694,2.234853748830853,0.02600301318571295,3.450990455492057,1.164552510094704,10.226533385711203,*,estimated,condom_or_contraceptive_use,other,8.781513325560184,1.238661278389659,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO23,num_H1MO2,2.1472674189679712,0.9998804780356896,2.1475240952662418,0.03237858354270523,8.561431598349495,1.2062322783237027,60.76616612770414,*,estimated,condom_or_contraceptive_use,other,50.37683638523642,2.1472674189679712,p_lt_0_05,higher_odds,extreme_or_review,wide_ci_review,no_automatic_overlap_flag,review_due_to_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE23,num_H1SE2,-1.0278589037960906,0.5590756335945207,-1.8384970512622325,0.06676333981747859,0.3577721657137794,0.11959465302170852,1.0702896770501402,.,estimated,condom_or_contraceptive_use,sexual_behavior_related,8.949310441628723,1.0278589037960906,p_lt_0_10,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,a_grade_wave112,a_grade_wave1,0.9374110215037924,0.5293901161787129,1.7707376712476035,0.07739967302431608,2.5533622536213216,0.9046622528530486,7.206732432636597,.,estimated,condom_or_contraceptive_use,core_sociodemographic,7.966213257940855,0.9374110215037924,p_lt_0_10,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO24,num_H1MO2,1.7089750118418348,0.9795639919363308,1.744628248802467,0.08185173054597422,5.5232972609558955,0.8097980265446676,37.6721251878726,.,estimated,condom_or_contraceptive_use,other,46.52039638651138,1.7089750118418348,p_lt_0_10,higher_odds,extreme_or_review,wide_ci_review,no_automatic_overlap_flag,review_due_to_extreme_or
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1PA32,num_H1PA3,1.0264252527021267,0.6498984062049928,1.5793626248382715,0.11507840207642848,2.7910706080240275,0.780847333861428,9.976438160392144,NA,estimated,condom_or_contraceptive_use,other,12.77642597696645,1.0264252527021267,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,a_grade_wave111,a_grade_wave1,0.6193954923877414,0.4100435124609981,1.5105604004566615,0.13172505646931965,1.8578046452795032,0.8316947503857841,4.149885638235832,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,4.989673959479599,0.6193954923877414,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE24,num_H1SE2,-1.9753105772986177,1.326378298277488,-1.4892512791138628,0.13724417644706646,0.1387182228210907,0.01030617507109208,1.8671083316463324,NA,estimated,condom_or_contraceptive_use,sexual_behavior_related,181.16404182609008,1.9753105772986175,not_statistically_significant,lower_odds,extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,review_due_to_very_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1BC74,num_H1BC7,1.582993213180591,1.0690219467669066,1.480786449677775,0.13948564326449375,4.869509499242264,0.5991221356020826,39.57811163057988,NA,estimated,condom_or_contraceptive_use,other,66.06017250690662,1.582993213180591,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO22,num_H1MO2,1.608913526066785,1.1194677906784634,1.4372128787123823,0.15147394915932774,4.997378755495931,0.556970310124571,44.83864574450381,NA,estimated,condom_or_contraceptive_use,other,80.50455280906316,1.608913526066785,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1BC75,num_H1BC7,1.3439703901662086,1.0438431501981331,1.287521396208911,0.1986900735470103,3.8342367397196617,0.49561186728656687,29.663073761136577,NA,estimated,condom_or_contraceptive_use,other,59.85141946567866,1.3439703901662086,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1MO25,num_H1MO2,1.2580643680967611,0.979774777868386,1.2840342459456109,0.19990617973910432,3.518604169099959,0.5156669350980023,24.008860091940328,NA,estimated,condom_or_contraceptive_use,other,46.55885118439377,1.2580643680967611,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE33,num_H1SE3,-0.5923353356117151,0.47861053377658225,-1.2376144982388126,0.21661721293676728,0.5530342549028873,0.21644647693269972,1.413037030817967,NA,estimated,condom_or_contraceptive_use,sexual_behavior_related,6.528343869774911,0.592335335611715,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
