sample_name,variable,unweighted_n,public_unweighted_n,unweighted_mean,weighted_mean,weighted_se,weighted_q25,weighted_median,weighted_q75
full_weighted_wave1,a_age_wave1,6501,6501,15.572527303491771,15.491604398263561,0.026589770341962703,14,15,17
main_grade_10_12,a_age_wave1,3259,3259,16.887081926971465,16.934541039213094,0.020320430840835076,16,17,18
strict_grade_10_12_age_15_19,a_age_wave1,3240,3240,16.877777777777776,16.92305688625704,0.019831000186874895,16,17,18
