Sample,Socioecological level,Model block,Public role,Models fitted,Technically stable models,Usable with caution,Review before reporting,Significant coefficients p<0.05,Review/exclusion flags,Interpretive decision
Main sample: grades 10-12,Family and household level,M1: family and household context,Exploratory socioecological block,9,0,2,7,45,50,Exploratory only; not promoted to public conclusion because review flags dominate.
Main sample: grades 10-12,School level,M2: school context,Exploratory socioecological block,4,2,1,1,14,2,Exploratory; may inform hypotheses but requires caution.
Main sample: grades 10-12,Psychosocial level,"M3: knowledge, attitudes and perceptions",Exploratory psychosocial block,9,1,4,4,57,42,Exploratory only; not promoted to public conclusion because review flags dominate.
Main sample: grades 10-12,Peer and relationship level,M4: peers and relationships,Exploratory socioecological block,5,3,0,2,15,2,Exploratory; may inform hypotheses but requires caution.
Main sample: grades 10-12,Individual risk-behavior level,M5: general risk behaviors,Exploratory individual-risk block,0,0,0,0,0,0,Not interpreted because no model was fitted.
