model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M2_C_adjusted,linear_regression,family_connectedness_mean_1_5,0.12269,0.03458,3.5479,4e-4,<0.001,0.05487,0.19052,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,linear_regression,friend_support_mean_1_5,0.15304,0.02985,5.1277,0,<0.001,0.09451,0.21158,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,linear_regression,age_covariate,-0.02197,0.03669,-0.5989,0.54933,0.549,-0.09393,0.04999,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,linear_regression,sex_covariateMale,-0.607,0.04344,-13.9742,0,<0.001,-0.69219,-0.52181,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,linear_regression,grade_covariate,0.04194,0.03419,1.2267,0.22009,0.220,-0.02511,0.109,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,linear_regression,residence_covariateUrban,-0.01741,0.04732,-0.3678,0.71307,0.713,-0.11021,0.0754,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_D_adjusted_weighted,linear_regression,(Intercept),2.98817,0.39335,7.5968,0,<0.001,2.21675,3.75959,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,linear_regression,family_connectedness_mean_1_5,0.09789,0.03435,2.8495,0.00442,0.004,0.03052,0.16526,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,linear_regression,friend_support_mean_1_5,0.15758,0.02972,5.3014,0,<0.001,0.09929,0.21587,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,linear_regression,age_covariate,-0.03248,0.03673,-0.8842,0.3767,0.377,-0.10452,0.03956,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,linear_regression,sex_covariateMale,-0.61183,0.04285,-14.2784,0,<0.001,-0.69586,-0.52779,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,linear_regression,grade_covariate,0.05226,0.03397,1.5382,0.12415,0.124,-0.01437,0.11889,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,linear_regression,residence_covariateUrban,-0.03224,0.04722,-0.6827,0.49487,0.495,-0.12484,0.06037,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M3_A_unadjusted,linear_regression,(Intercept),2.65046,0.15207,17.4295,0,<0.001,2.35224,2.94868,partner_norm_delay_H1MO2,Partner norm item,A_unadjusted,FALSE
M3_A_unadjusted,linear_regression,family_connectedness_mean_1_5,0.0428,0.03697,1.1576,0.24714,0.247,-0.0297,0.1153,partner_norm_delay_H1MO2,Partner norm item,A_unadjusted,FALSE
M3_B_interpersonal,linear_regression,(Intercept),2.80714,0.17874,15.7055,0,<0.001,2.45662,3.15766,partner_norm_delay_H1MO2,Partner norm item,B_interpersonal,FALSE
M3_B_interpersonal,linear_regression,family_connectedness_mean_1_5,0.06258,0.03872,1.6162,0.10621,0.106,-0.01336,0.13851,partner_norm_delay_H1MO2,Partner norm item,B_interpersonal,FALSE
M3_B_interpersonal,linear_regression,friend_support_mean_1_5,-0.05492,0.03286,-1.6717,0.09474,0.095,-0.11936,0.00951,partner_norm_delay_H1MO2,Partner norm item,B_interpersonal,FALSE
M3_C_adjusted,linear_regression,(Intercept),3.58444,0.47058,7.6171,0,<0.001,2.66155,4.50733,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
