priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,265,4,birth control; contraceptive; method; pill,5,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,467,4,birth control; contraceptive; method; pill,1,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,468,4,birth control; contraceptive; method; pill,2,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,469,4,birth control; contraceptive; method; pill,3,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,472,4,birth control; contraceptive; method; pill,4,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,473,4,birth control; contraceptive; method; pill,5,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,212,4,birth control; contraceptive; method; pill,1,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,213,4,birth control; contraceptive; method; pill,2,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,215,4,birth control; contraceptive; method; pill,3,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,216,4,birth control; contraceptive; method; pill,4,Review this page first; keyword density suggests possible relevant variable entries.,No
