Sample,Domain,Outcome,Issue,Detail
Sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Ever used birth-control pills,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 1.58, 95 percent CI [0.79; 3.16], p = 0.200."
Sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Ever used birth-control pills,Coefficient requires review or appendix placement.,"Age: OR 0.81, 95 percent CI [0.55; 1.21], p = 0.309."
Sensitivity sample: grades 10-12 and ages 15-19,Pregnancy and reproductive experience,Ever been pregnant,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 0.63, 95 percent CI [0.30; 1.31], p = 0.217."
Sensitivity sample: grades 10-12 and ages 15-19,Pregnancy and reproductive experience,Ever been pregnant,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.82, 95 percent CI [0.44; 1.53], p = 0.539."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,STD testing or treatment,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 1.18, 95 percent CI [0.74; 1.89], p = 0.480."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,STD testing or treatment,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.07, 95 percent CI [0.62; 1.83], p = 0.813."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported chlamydia diagnosis,Coefficient requires review or appendix placement.,"Age: OR 1.52, 95 percent CI [1.00; 2.32], p = 0.050."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported chlamydia diagnosis,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 0.86, 95 percent CI [0.34; 2.17], p = 0.747."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported chlamydia diagnosis,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.00, 95 percent CI [0.34; 2.93], p = 0.993."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported gonorrhea diagnosis,Outcome requires manual review before public interpretation.,Reporting status: Manual review required; suitability score: 85.
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported gonorrhea diagnosis,Coefficient requires review or appendix placement.,"Age: OR 1.64, 95 percent CI [0.89; 3.01], p = 0.113."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported gonorrhea diagnosis,Coefficient requires review or appendix placement.,"11th grade vs 10th grade: OR 1.36, 95 percent CI [0.33; 5.58], p = 0.668."
Sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported gonorrhea diagnosis,Coefficient requires review or appendix placement.,"12th grade vs 10th grade: OR 1.19, 95 percent CI [0.27; 5.30], p = 0.816."
