item,value
Final reporting models created,18
Main coefficient table created,14
Appendix review coefficient table created,1
Outcome narrative summary created,18
Main-strict robustness table created,45
Caution register created,3
Number of outcomes ready for cautious reporting,16
Number of outcomes requiring manual review,2
Number of main reporting coefficients,14
Number of appendix/review coefficients,1
Microdata used by Script 12,No
Causal interpretation permitted,No
