sample_name,sample_variable,n_unweighted,interpretation
Main sample: grades 10-12,sample_main_grade_10_12,3259,Main public analytical sample.
Restricted sensitivity sample: grades 10-12 and ages 15-19,sample_restricted_sensitivity,3240,Restricted sensitivity sample approximating the thesis age range.
