sample_name,variable,variable_label,variable_class,variable_role,n_total,n_missing,n_nonmissing,pct_missing,pct_nonmissing,weighted_pct_missing,weighted_pct_nonmissing,n_unique_nonmissing,is_binary_01,public_n_nonmissing,availability_class
full_weighted_wave1,H1ED20,S5Q20 FEEL PART OF YOUR SCHOOL-W1,haven_labelled,original_imported_variable,6504,138,6366,2.12,97.88,2.22,97.78,5,FALSE,6366,high_availability
full_weighted_wave1,H1ED23,S5Q23 TEACHERS TREAT STUDENTS FAIRLY-W1,haven_labelled,original_imported_variable,6504,137,6367,2.11,97.89,2.19,97.81,5,FALSE,6367,high_availability
full_weighted_wave1,H1ED24,S5Q24 FEEL SAFE IN YOUR SCHOOL-W1,haven_labelled,original_imported_variable,6504,137,6367,2.11,97.89,2.19,97.81,5,FALSE,6367,high_availability
full_weighted_wave1,H1PR2,S35Q2 TEACHERS CARE ABOUT YOU-W1,haven_labelled,original_imported_variable,6504,28,6476,0.43,99.57,0.5,99.5,6,FALSE,6476,high_availability
full_weighted_wave1,BIO_SEX,BIOLOGICAL SEX-W1,haven_labelled,original_imported_variable,6504,1,6503,0.02,99.98,0,100,2,FALSE,6503,high_availability
full_weighted_wave1,H1RM1,S14Q1 RES MOM-EDUCATION LEVEL-W1,haven_labelled,original_imported_variable,6504,427,6077,6.57,93.43,6.75,93.25,12,FALSE,6077,high_availability
full_weighted_wave1,H1RF1,S15Q1 RES DAD-EDUCATION LEVEL-W1,haven_labelled,original_imported_variable,6504,2010,4494,30.9,69.1,29.15,70.85,12,FALSE,4494,moderate_availability
full_weighted_wave1,PA55,A55 TOTAL HOUSEHOLD INCOME-PQ,haven_labelled,original_imported_variable,6504,1575,4929,24.22,75.78,22.85,77.15,150,FALSE,4929,moderate_availability
full_weighted_wave1,PA21,A21 RECEIVING PUBLIC ASSISTANCE-PQ,haven_labelled,original_imported_variable,6504,891,5613,13.7,86.3,13.01,86.99,2,TRUE,5613,high_availability
full_weighted_wave1,H1TS8,S4Q8 LEARNED-AIDS-W1,haven_labelled,original_imported_variable,6504,15,6489,0.23,99.77,0.24,99.76,2,TRUE,6489,high_availability
full_weighted_wave1,H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,haven_labelled,original_imported_variable,6504,55,6449,0.85,99.15,0.9,99.1,5,FALSE,6449,high_availability
full_weighted_wave1,H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,haven_labelled,original_imported_variable,6504,81,6423,1.25,98.75,1.39,98.61,5,FALSE,6423,high_availability
full_weighted_wave1,H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,haven_labelled,original_imported_variable,6504,2111,4393,32.46,67.54,35.55,64.45,5,FALSE,4393,moderate_availability
full_weighted_wave1,H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,haven_labelled,original_imported_variable,6504,2114,4390,32.5,67.5,35.58,64.42,5,FALSE,4390,moderate_availability
full_weighted_wave1,H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,haven_labelled,original_imported_variable,6504,1868,4636,28.72,71.28,31.65,68.35,5,FALSE,4636,moderate_availability
full_weighted_wave1,H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,haven_labelled,original_imported_variable,6504,1833,4671,28.18,71.82,31.17,68.83,5,FALSE,4671,moderate_availability
full_weighted_wave1,H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,haven_labelled,original_imported_variable,6504,1852,4652,28.47,71.53,31.45,68.55,5,FALSE,4652,moderate_availability
full_weighted_wave1,H1BC3,S27Q3 TOO MUCH PLANNING-W1,haven_labelled,original_imported_variable,6504,1849,4655,28.43,71.57,31.38,68.62,5,FALSE,4655,moderate_availability
full_weighted_wave1,H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,haven_labelled,original_imported_variable,6504,1858,4646,28.57,71.43,31.51,68.49,5,FALSE,4646,moderate_availability
full_weighted_wave1,H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,haven_labelled,original_imported_variable,6504,1882,4622,28.94,71.06,31.9,68.1,5,FALSE,4622,moderate_availability
full_weighted_wave1,H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,haven_labelled,original_imported_variable,6504,1827,4677,28.09,71.91,31.05,68.95,5,FALSE,4677,moderate_availability
full_weighted_wave1,H1BC8,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,haven_labelled,original_imported_variable,6504,1864,4640,28.66,71.34,31.58,68.42,5,FALSE,4640,moderate_availability
full_weighted_wave1,H1MO1,S17Q1 IF SEX GAIN MORE RESPECT-W1,haven_labelled,original_imported_variable,6504,2147,4357,33.01,66.99,36.12,63.88,5,FALSE,4357,moderate_availability
full_weighted_wave1,H1MO2,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,haven_labelled,original_imported_variable,6504,2168,4336,33.33,66.67,36.46,63.54,5,FALSE,4336,moderate_availability
full_weighted_wave1,H1MO3,S17Q3 IF SEX WOULD FEEL GUILTY-W1,haven_labelled,original_imported_variable,6504,2161,4343,33.23,66.77,36.37,63.63,5,FALSE,4343,moderate_availability
