model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M2_C_adjusted,standardized_linear_regression,(Intercept),0.30718,0.04426,6.9402,0,<0.001,0.22037,0.39398,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.0783,0.02207,3.5479,4e-4,<0.001,0.03502,0.12157,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,standardized_linear_regression,friend_support_mean_1_5,0.11539,0.0225,5.1277,0,<0.001,0.07126,0.15953,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,standardized_linear_regression,age_covariate,-0.02318,0.0387,-0.5989,0.54933,0.549,-0.09907,0.05272,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,standardized_linear_regression,sex_covariateMale,-0.59836,0.04282,-13.9742,0,<0.001,-0.68234,-0.51439,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,standardized_linear_regression,grade_covariate,0.04747,0.0387,1.2267,0.22009,0.220,-0.02843,0.12337,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_C_adjusted,standardized_linear_regression,residence_covariateUrban,-0.01716,0.04665,-0.3678,0.71307,0.713,-0.10865,0.07433,peer_norm_delay_H1MO1,Peer norm item,C_adjusted,FALSE
M2_D_adjusted_weighted,standardized_linear_regression,(Intercept),0.32302,0.04488,7.1978,0,<0.001,0.23501,0.41103,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,standardized_linear_regression,family_connectedness_mean_1_5,0.06246,0.02192,2.8495,0.00442,0.004,0.01947,0.10546,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,standardized_linear_regression,friend_support_mean_1_5,0.11881,0.02241,5.3014,0,<0.001,0.07486,0.16277,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
