item,block,source_var,available_in_clean_data,intended_scoring
H1ED15,School adjustment/problems,H1ED15,TRUE,Higher score = more school adjustment problems
H1ED16,School adjustment/problems,H1ED16,TRUE,Higher score = more school adjustment problems
H1ED17,School adjustment/problems,H1ED17,TRUE,Higher score = more school adjustment problems
H1ED18,School adjustment/problems,H1ED18,TRUE,Higher score = more school adjustment problems
H1ED19,School connectedness/climate,H1ED19,TRUE,Reverse-coded; higher score = stronger school connectedness/climate
H1ED20,School connectedness/climate,H1ED20,TRUE,Reverse-coded; higher score = stronger school connectedness/climate
H1ED21,School connectedness/climate,H1ED21,TRUE,Reverse-coded; higher score = stronger school connectedness/climate
H1ED22,School connectedness/climate,H1ED22,TRUE,Reverse-coded; higher score = stronger school connectedness/climate
H1ED23,School connectedness/climate,H1ED23,TRUE,Reverse-coded; higher score = stronger school connectedness/climate
H1ED24,School connectedness/climate,H1ED24,TRUE,Reverse-coded; higher score = stronger school connectedness/climate
