construct,variable,n_valid,n_missing,pct_valid,mean,sd,min,q25,median,q75,max
family_connectedness,family_connectedness_mean_1_5,2141,2,99.91,4.0667,0.6599,1,3.75,4,4.5,5
friend_support,friend_support_mean_1_5,2140,3,99.86,4.2963,0.7796,1,4,4,5,5
tpb_attitudes_delay,tpb_attitudes_delay_mean_1_5,2102,41,98.09,3.4872,0.5536,1.4545,3.0909,3.4545,3.8182,5
peer_norm_delay,peer_norm_delay_H1MO1,2108,35,98.37,3.7457,1.0148,1,3,4,5,5
partner_norm_delay,partner_norm_delay_H1MO2,2088,55,97.43,2.8242,1.1124,1,2,3,3,5
maternal_norm_delay,maternal_norm_delay_H1MO4,2018,125,94.17,4.2626,0.9915,1,4,5,5,5
sexual_delay_deterrence_diagnostic,sexual_delay_deterrence_mean_1_5,2097,46,97.85,3.5126,0.8779,1,3,3.6667,4,5
combined_subjective_norms_not_recommended,tpb_subjective_norms_delay_mean_1_5,2101,42,98.04,3.5979,0.6989,1,3,3.6667,4,5
delay_orientation_proxy_diagnostic_only,tpb_delay_orientation_proxy_mean_1_5,2107,36,98.32,3.5421,0.5491,1.5909,3.1818,3.5152,3.8939,5
