variable,original_item,variable_label,variable_class,variable_role_basic,is_binary_01,n_unique_nonmissing,thesis_construct_block,theoretical_model,expected_analytic_use,analysis_role,variable_level,mapping_quality,dictionary_row_id,priority_id,thesis_item_codes,add_health_target_domain,equivalence_strategy,expected_wave_priority,add_health_wave,requested_variable_name,sav_variable_name,available_in_sav,import_decision,add_health_variable_label,public_use_status,final_decision,import_priority,reviewer_notes,theoretical_block,predictor_use_group,main_n_total,main_n_nonmissing,main_pct_nonmissing,main_weighted_pct_nonmissing,main_n_unique_nonmissing,main_is_binary_01,main_availability_class,preliminary_modeling_decision,recommended_general_role,reviewer_note
num_PA55,PA55,NA,numeric,numeric_cleaned_item,FALSE,150,Household socioeconomic status,Socioecological model,Control or stratification,control_or_index_variable,baseline_covariate,near_direct_equivalent,38,4,AFL1-AFL4,Household assets and family socioeconomic status,Proxy or index construction,Wave I,Wave I,PA55,PA55,TRUE,import,A55 TOTAL HOUSEHOLD INCOME-PQ,public_use_confirmed,,2 - import second,Rendimento total do agregado no questionário dos pais; tratar 9996 como missing/recusa.,family_household_context,family_block_predictor,3259,2371,72.75,73.55,133,FALSE,moderate_availability,candidate_for_modeling,eligible_predictor_block,
H1BC1,H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,49,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC1,H1BC1,TRUE,import,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3208,98.44,98.1,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1BC2,H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,50,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC2,H1BC2,TRUE,import,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3197,98.1,97.82,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1BC3,H1BC3,S27Q3 TOO MUCH PLANNING-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,51,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC3,H1BC3,TRUE,import,S27Q3 TOO MUCH PLANNING-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3205,98.34,98.1,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1BC4,H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,52,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC4,H1BC4,TRUE,import,S27Q4 HARD TO GET PARTNER TO USE-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3197,98.1,97.83,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1BC5,H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,53,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC5,H1BC5,TRUE,import,S27Q5 INTERFERES WITH PLEASURE-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3181,97.61,97.29,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1BC6,H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived benefits,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,46,14,BEP1-BEP4,Benefits of condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC6,H1BC6,TRUE,import,S27Q6 EASY TO GET BIRTHCONTROL-W1,public_use_confirmed,,2 - import second,Facilidade de obter birth control; pode ser recodificada como benefício/acesso.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3190,97.88,97.62,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1BC7,H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,54,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC7,H1BC7,TRUE,import,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3215,98.65,98.43,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1GH44,H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,42,12,SUP1-SUP4,Perceived HIV/STI risk,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1GH44,H1GH44,TRUE,import,S3Q44 CHANCES OF GETTING AIDS-W1,public_use_confirmed,,2 - import second,Perceção de chance de contrair AIDS; inverter se maior valor deve indicar maior suscetibilidade.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3246,99.6,99.64,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1GH46,H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,43,12,SUP1-SUP4,Perceived HIV/STI risk,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1GH46,H1GH46,TRUE,import,S3Q46 CHANGES OF GETTING OTHER STDS-W1,public_use_confirmed,,2 - import second,Perceção de chance de contrair outras STDs; inverter se maior valor deve indicar maior suscetibilidade.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3245,99.57,99.61,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1HS9,H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,haven_labelled,original_imported_variable,TRUE,2,HIV/STI outcome,Health Belief Model / reproductive health,Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,proxy_equivalent,17,10,HIV-related outcome,"HIV, AIDS, STI, STD testing or diagnosis","Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1HS9,H1HS9,TRUE,import,S7Q9 TESTING/TREATMENT FOR STDS-W1,public_use_confirmed,,1 - import first,"Teste/tratamento de STDs; proxy de exposição/serviço de saúde sexual, não diagnóstico confirmado.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3255,99.88,99.89,2,TRUE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1MO10,H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,73,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO10,H1MO10,TRUE,import,S17Q10 IF PREGNANT EMBARRASS SELF-W1,public_use_confirmed,,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3196,98.07,97.67,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1MO11,H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,74,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO11,H1MO11,TRUE,import,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,public_use_confirmed,,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3178,97.51,97.11,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1MO12,H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,75,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO12,H1MO12,TRUE,import,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,public_use_confirmed,,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3182,97.64,97.21,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1MO13,H1MO13,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,76,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO13,H1MO13,TRUE,import,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,public_use_confirmed,,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3191,97.91,97.45,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1MO14,H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,77,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO14,H1MO14,TRUE,import,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,public_use_confirmed,,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3192,97.94,97.56,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PA3,H1PA3,S34Q3 MOM-USE OF BIRTHCONTROL-W1,haven_labelled,original_imported_variable,FALSE,5,Attitudes,Theory of Planned Behaviour,Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,near_direct_equivalent,60,17,AIS1-AIS3; APC1-APC3,"Attitudes toward sex, condom and contraception",Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PA3,H1PA3,TRUE,import,S34Q3 MOM-USE OF BIRTHCONTROL-W1,public_use_confirmed,,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3009,92.33,91.76,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PA7,H1PA7,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,haven_labelled,original_imported_variable,TRUE,2,Attitudes,Theory of Planned Behaviour,Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,near_direct_equivalent,62,17,AIS1-AIS3; APC1-APC3,"Attitudes toward sex, condom and contraception",Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PA7,H1PA7,TRUE,import,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,public_use_confirmed,,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3200,98.19,97.75,2,TRUE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PF12,H1PF12,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,haven_labelled,original_imported_variable,FALSE,5,Peer norms,Theory of Planned Behaviour / Socioecological model,Theory of Planned Behaviour construct,planned_behaviour_construct,peer_context,proxy_equivalent,24,18,NPP1-NPP3; NP4-NP6,Peer norms and peer sexual behaviour,Construct-level equivalence likely; check public-use restrictions,Wave I to Wave III,Wave I,H1PF12,H1PF12,TRUE,import,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,public_use_confirmed,,1 - import first,Perceção de amigos saberem usar preservativo; proxy de normas/conhecimento de pares.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3167,97.18,96.76,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1PF6,H1PF6,S18Q6 KNOW HOW TO USE CONDOM-W1,haven_labelled,original_imported_variable,FALSE,5,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,near_direct_equivalent,23,16,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,"Condom, contraception and refusal self-efficacy",Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PF6,H1PF6,TRUE,import,S18Q6 KNOW HOW TO USE CONDOM-W1,public_use_confirmed,,1 - import first,Conhecimento/autoeficácia percebida para usar preservativo; maior concordância indica maior capacidade.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3219,98.77,98.34,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1RP3,H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived severity,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,71,13,SEP1-SEP4,Perceived seriousness of HIV/AIDS,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1RP3,H1RP3,TRUE,import,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,public_use_confirmed,,3 - import after review,Perceção das consequências de ser HIV positivo; inverter para maior severidade percebida.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3240,99.42,99.15,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1RP5,H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,44,12,SUP1-SUP4,Perceived HIV/STI risk,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1RP5,H1RP5,TRUE,import,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,public_use_confirmed,,2 - import second,Risco percebido de gravidez sem proteção.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3219,98.77,98.45,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1RP6,H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,haven_labelled,original_imported_variable,FALSE,5,Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,45,12,SUP1-SUP4,Perceived HIV/STI risk,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1RP6,H1RP6,TRUE,import,S8Q6 RISK OF AIDS W/O PROTECTION-W1,public_use_confirmed,,2 - import second,Risco percebido de AIDS sem proteção.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3214,98.62,98.31,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1SE1,H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,haven_labelled,original_imported_variable,FALSE,6,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,near_direct_equivalent,20,16,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,"Condom, contraception and refusal self-efficacy",Construct-level equivalence likely,Wave I to Wave III,Wave I,H1SE1,H1SE1,TRUE,import,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,public_use_confirmed,,1 - import first,Autoeficácia/intenção: usar birth control se excitado/aroused; recodificar para maior proteção.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3202,98.25,97.9,6,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1SE2,H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,haven_labelled,original_imported_variable,FALSE,6,Self-efficacy,Theory of Planned Behaviour / Health Belief Model,Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,near_direct_equivalent,21,16,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,"Condom, contraception and refusal self-efficacy",Construct-level equivalence likely,Wave I to Wave III,Wave I,H1SE2,H1SE2,TRUE,import,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,public_use_confirmed,,1 - import first,Autoeficácia/planeamento antecipado de birth control; recodificar para maior proteção.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3217,98.71,98.37,6,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
H1TS8,H1TS8,S4Q8 LEARNED-AIDS-W1,haven_labelled,original_imported_variable,TRUE,2,HIV/AIDS knowledge,Health Belief Model,Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,proxy_equivalent,40,11,INA1-INA4; CVS1-CVS9,HIV/AIDS knowledge and information exposure,"Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1TS8,H1TS8,TRUE,import,S4Q8 LEARNED-AIDS-W1,public_use_confirmed,,2 - import second,"Aprendeu sobre AIDS; exposição a informação, não teste de conhecimento factual.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3254,99.85,99.86,2,TRUE,high_availability,candidate_for_modeling,eligible_predictor_block,
a_H1HS9_yesno,H1HS9,NA,integer,candidate_binary_recode,TRUE,2,HIV/STI outcome,Health Belief Model / reproductive health,Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,proxy_equivalent,17,10,HIV-related outcome,"HIV, AIDS, STI, STD testing or diagnosis","Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1HS9,H1HS9,TRUE,import,S7Q9 TESTING/TREATMENT FOR STDS-W1,public_use_confirmed,,1 - import first,"Teste/tratamento de STDs; proxy de exposição/serviço de saúde sexual, não diagnóstico confirmado.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3255,99.88,99.89,2,TRUE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC1,H1BC1,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,49,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC1,H1BC1,TRUE,import,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3208,98.44,98.1,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC2,H1BC2,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,50,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC2,H1BC2,TRUE,import,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3197,98.1,97.82,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC3,H1BC3,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,51,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC3,H1BC3,TRUE,import,S27Q3 TOO MUCH PLANNING-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3205,98.34,98.1,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC4,H1BC4,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,52,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC4,H1BC4,TRUE,import,S27Q4 HARD TO GET PARTNER TO USE-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3197,98.1,97.83,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC5,H1BC5,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,direct_equivalent,53,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC5,H1BC5,TRUE,import,S27Q5 INTERFERES WITH PLEASURE-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3181,97.61,97.29,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC6,H1BC6,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived benefits,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,proxy_equivalent,46,14,BEP1-BEP4,Benefits of condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC6,H1BC6,TRUE,import,S27Q6 EASY TO GET BIRTHCONTROL-W1,public_use_confirmed,,2 - import second,Facilidade de obter birth control; pode ser recodificada como benefício/acesso.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3190,97.88,97.62,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC7,H1BC7,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,54,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC7,H1BC7,TRUE,import,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3215,98.65,98.43,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1BC8,H1BC8,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived barriers,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,55,15,BAP1-BAP3,Barriers to condom use or prevention,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC8,H1BC8,TRUE,import,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,public_use_confirmed,,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3194,98.01,97.84,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1GH44,H1GH44,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,42,12,SUP1-SUP4,Perceived HIV/STI risk,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1GH44,H1GH44,TRUE,import,S3Q44 CHANCES OF GETTING AIDS-W1,public_use_confirmed,,2 - import second,Perceção de chance de contrair AIDS; inverter se maior valor deve indicar maior suscetibilidade.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3246,99.6,99.64,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1GH46,H1GH46,NA,numeric,numeric_cleaned_item,FALSE,5,Perceived susceptibility,Health Belief Model,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,near_direct_equivalent,43,12,SUP1-SUP4,Perceived HIV/STI risk,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1GH46,H1GH46,TRUE,import,S3Q46 CHANGES OF GETTING OTHER STDS-W1,public_use_confirmed,,2 - import second,Perceção de chance de contrair outras STDs; inverter se maior valor deve indicar maior suscetibilidade.,knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3245,99.57,99.61,5,FALSE,high_availability,candidate_for_modeling,eligible_predictor_block,
num_H1HS9,H1HS9,NA,numeric,numeric_cleaned_item,TRUE,2,HIV/STI outcome,Health Belief Model / reproductive health,Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,proxy_equivalent,17,10,HIV-related outcome,"HIV, AIDS, STI, STD testing or diagnosis","Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1HS9,H1HS9,TRUE,import,S7Q9 TESTING/TREATMENT FOR STDS-W1,public_use_confirmed,,1 - import first,"Teste/tratamento de STDs; proxy de exposição/serviço de saúde sexual, não diagnóstico confirmado.",knowledge_attitudes_perceptions,knowledge_attitude_block_predictor,3259,3255,99.88,99.89,2,TRUE,high_availability,candidate_for_modeling,eligible_predictor_block,
