model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision,final_model_decision,final_model_reporting_status,suitability_score,final_selection_class
main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,main_grade_10_12,a_H1CO16C_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.36717155289912135,0.7274147449906473,0.5047623180965932,0.6137889767588034,1.4436455594538895,0.34695459862860717,6.00687383758197,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,17.313140858559265,0.36717155289912135,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_final_model_with_caution,report_only_after_manual_review,75,usable_with_caution
main_grade_10_12__a_H1CO16C_yesno__M0_core_controls,main_grade_10_12,a_H1CO16C_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.2927619730761787,0.7691475622812648,0.38063173756653,0.7035224621059228,1.3401237669273145,0.2967790818854999,6.051409348912072,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,20.390282598309142,0.2927619730761787,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci,alternative_final_model_with_caution,report_only_after_manual_review,75,usable_with_caution
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,(Intercept),(Intercept),2.888625209902027,1.3318368743657902,2.1689031633679363,0.03022416522430961,17.968589573998397,1.320783255692267,244.45359212975225,*,estimated,condom_or_contraceptive_use,other,185.0822919477624,2.888625209902027,p_lt_0_05,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.12470993405631532,0.08211228296459905,-1.5187731914612743,0.12900002073659209,0.8827529220109056,0.7515255973692522,1.0368944504972282,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,1.3797194056023134,0.12470993405631528,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.1831544862306123,0.20002097080801196,0.9156764187811648,0.35996264964588276,1.2009999317024538,0.8114872396478011,1.7774781481164437,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,2.1903956849498933,0.1831544862306124,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO3_yesno__M0_core_controls,main_grade_10_12,a_H1CO3_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,-0.1337898183768934,0.16323263587905615,-0.8196266491464502,0.4125404610351635,0.8747739066821018,0.6352569065276473,1.2045982970805569,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,1.8962380175683,0.13378981837689338,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,(Intercept),(Intercept),3.641194527701653,1.286502048482104,2.8303060473147035,0.00470360862270973,38.13736566695155,3.0637832627522497,474.7263547318324,**,estimated,condom_or_contraceptive_use,other,154.94776034038958,3.641194527701653,p_lt_0_01,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.1714003969286405,0.07940739851680514,-2.158494046274123,0.03102542910882434,0.8424841778528023,0.7210556948411238,0.9843616727674604,*,estimated,condom_or_contraceptive_use,core_sociodemographic,1.3651673231488077,0.17140039692864045,p_lt_0_05,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.31905139851958525,0.20114577989126772,1.586169984237567,0.11288193506253132,1.3758220383047235,0.927563215391017,2.040708654328225,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,2.2000750142597645,0.3190513985195853,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,-0.08827862586550282,0.16156360278438733,-0.5464016916193305,0.5848597007662031,0.9155057575994988,0.6670146379716088,1.2565703126795664,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,1.8838721688339497,0.08827862586550278,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.3079122530840233,0.1564530723059629,1.968080578704544,0.04975253605527532,1.3605815968600243,1.00126503084168,1.8488434377439904,*,estimated,condom_or_contraceptive_use,core_sociodemographic,1.8465075487454325,0.3079122530840233,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,(Intercept),(Intercept),-4.392805925869361,2.5366112109019325,-1.7317616144680794,0.08409085164588924,0.01236598246473258,8.570804187596602e-5,1.7841677276838428,.,estimated,condom_or_contraceptive_use,other,20816.806552013335,4.392805925869362,p_lt_0_10,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,-0.46477529708253446,0.3155895241874014,-1.4727209284885658,0.14161665628921813,0.628276264839238,0.3384662945725636,1.166234485648964,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,3.4456443798096874,0.46477529708253446,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1CO8_yesno__M0_core_controls,main_grade_10_12,a_H1CO8_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,-0.42492588138493304,0.3998728396434658,-1.0626525216461435,0.2885839044352922,0.6538182434367028,0.2985921608946703,1.4316460759378424,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,4.79465392409569,0.4249258813849331,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,(Intercept),(Intercept),-12.649094197966368,2.4664367189212326,-5.128489249664923,3.583401598669985e-7,3.210466841311581e-6,2.5532589859859368e-8,4.0368397392249225e-4,***,estimated,pregnancy_or_reproductive_experience,other,15810.53767511212,12.649094197966367,p_lt_0_001,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.665314082515608,0.15156478004831014,4.389635126996813,1.2713376932840436e-5,1.945101347731272,1.4451991232401633,2.617922466257463,***,estimated,pregnancy_or_reproductive_experience,core_sociodemographic,1.8114614271201825,0.6653140825156079,p_lt_0_001,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
