model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion,model_stage_rank,min_outcome_cell,n_coefficients_reviewed,n_significant_05,n_significant_10,n_extreme_or,n_very_extreme_or,n_or_missing,n_not_estimable_terms,n_wide_ci,n_very_wide_ci,n_possible_conceptual_overlap,n_candidate_for_interpretation,n_coefficients_requiring_review,model_sample_flag,outcome_cell_flag,parameter_pressure_flag,instability_flag,conceptual_review_flag,final_selection_class,suitability_score,selection_priority
main_grade_10_12__a_H1FP7_yesno__M4_peers_relationships,main_grade_10_12,a_H1FP7_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,881,881,160,721,160,721,2762915.143896802,495903.250033567,17.948551591568155,fitted,NA,NA,8,873,829.2191418922386,782.9248833631309,1.0158058819321951,6,160,7,2,2,0,1,0,0,1,0,0,1,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,55,3
main_grade_10_12__a_H1FP7_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1FP7_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1HS9_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1HS9_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,1,2250,2250,122,2128,122,2128,7359769.074555518,374911.452032736,5.094065428341964,fitted,NA,glm.fit: algorithm did not converge,47,2203,905.7405748360028,1.2447143677660596e-8,5.428744876029538e-13,1,122,46,1,1,0,1,0,0,0,0,1,0,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,55,3
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,a_age_wave1; a_grade_wave1; num_H1WP8; num_H1WP14; num_H1WP13; num_H1PR8; num_H1PR5,1,2292,2292,127,2165,127,2165,7519885.725525713,392156.823057316,5.214930616913072,fitted,NA,NA,28,2264,938.7837818328796,829.1615753887907,1.0597531334615062,3,127,27,9,13,3,5,0,0,4,1,0,4,9,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1PA7; num_H1MO9; num_H1MO10; num_H1GH46,1,3165,3165,221,2944,221,2944,10067416.303302864,662484.902860477,6.580485825773713,fitted,NA,glm.fit: algorithm did not converge,18,3147,1535.9724283437408,1.746575238197441e-8,6.868081910061366e-13,5,221,17,1,1,0,1,0,0,0,0,1,0,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,55,3
main_grade_10_12__a_H1HS9_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1HS9_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_sex_ever__M1_family_context,main_grade_10_12,a_sex_ever,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,1,2275,2275,1113,1162,1113,1162,7453951.844306464,3622676.367063062,48.60074820352056,fitted,NA,NA,29,2246,3152.037744828758,2878.244298369942,1.0003991572130686,3,1113,28,7,13,0,2,0,0,1,1,0,5,2,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_sex_ever__M2_school_context,main_grade_10_12,a_sex_ever,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,a_age_wave1; a_grade_wave1; num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,1,3222,3222,1763,1459,1763,1459,10269952.094127716,5606603.399887035,54.59230333793718,fitted,NA,NA,25,3197,4439.422263191701,4108.81973117204,0.9969347633219762,4,1459,24,9,15,0,1,0,0,0,0,0,8,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,65,3
main_grade_10_12__a_sex_ever__M5_general_risk_behaviors,main_grade_10_12,a_sex_ever,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,1,244,244,184,60,184,60,794954.117228158,609545.168303489,76.67677355126456,fitted,NA,NA,38,206,265.0584311723712,214.9039092917934,0.9989989162464814,1,60,37,6,10,6,7,0,0,13,16,0,0,29,small_model_sample_review,adequate_outcome_cell,high_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP13,a_age_wave1; a_grade_wave1; num_H1WP13,1,267,267,204,63,204,63,873689.239848215,679696.781098415,77.79617169332403,fitted,NA,NA,8,259,282.7400072460683,271.5820402287936,1.000245519089064,3,63,7,1,1,0,1,0,0,3,1,0,0,4,small_model_sample_review,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,1,409,409,303,106,303,106,1283707.277570078,973227.517264644,75.81381941737222,fitted,NA,NA,26,383,452.53110376915185,390.8939287671354,1.0157286985651552,5,106,25,7,10,5,2,0,0,8,3,0,3,13,adequate_model_sample,adequate_outcome_cell,moderate_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,473,473,356,117,356,117,1495589.307648214,1151246.767595661,76.97612985786687,fitted,NA,NA,8,465,510.4281175345993,497.3626484994904,0.9975931568134084,6,117,7,1,2,0,1,0,0,1,0,0,0,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,55,3
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,1,1013,1013,23,990,23,990,3292539.128890989,76655.345372025,2.3281529048325833,fitted,NA,NA,31,982,223.9725711145435,132.28077956206275,1.1316326889785269,1,23,30,14,16,4,12,0,0,9,10,1,2,22,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1RM1; num_H1WP14,1,1032,1032,26,1006,26,1006,3378476.469749415,87496.755015886,2.589828752673708,fitted,NA,NA,9,1023,248.05444761568856,215.19476558356425,1.0002455326362183,3,26,8,5,5,0,3,0,0,1,3,0,2,4,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,1,1698,1698,52,1646,52,1646,5369678.511489705,150169.3277906,2.7966167335582,fitted,NA,NA,18,1680,433.3285137727562,342.70693569142867,0.9208689810425668,5,52,17,8,9,4,2,0,0,0,1,1,2,6,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,1,1392,1392,22,1370,22,1370,4436468.09099508,58449.426850727,1.317476552335961,fitted,NA,NA,31,1361,195.2338724038757,132.8268636425909,0.6697883974308875,1,22,30,3,4,3,1,0,0,15,5,1,1,21,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,1,1710,1710,24,1686,24,1686,5418864.481715586,64205.1834941,1.18484571280094,fitted,NA,NA,18,1692,220.01714856201193,165.91573080204392,1.1760180454198812,5,24,17,4,5,3,1,0,0,4,7,1,0,12,adequate_model_sample,small_outcome_cell_review,parameter_pressure_acceptable,very_extreme_or_review,possible_conceptual_overlap_review,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,1,1026,1026,713,313,713,313,3354401.40754879,2346655.336985683,69.95749917421149,fitted,NA,NA,22,1004,1254.2316083597843,1187.1092372275589,0.9993376353322874,3,313,21,6,6,4,1,0,0,9,1,0,1,13,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,1,1681,1681,1165,516,1165,516,5329003.928455024,3722434.589272015,69.8523521327412,fitted,NA,NA,56,1625,2057.9142694134366,1735.3455177364804,1.005420778456977,1,516,55,7,13,0,1,0,0,1,0,0,6,1,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,55,3
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,1,1572,1572,1093,479,1093,479,4984868.681098364,3491940.349924507,70.05079919487656,fitted,NA,NA,26,1546,1919.202191280104,1835.6269949099456,0.9968099387659876,3,479,25,10,12,0,2,0,0,4,2,0,8,6,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,1,224,224,128,96,128,96,740632.583818658,439732.328038175,59.372533378283336,fitted,NA,NA,43,181,302.6123259098911,225.89757890100435,1.2658615816791996,1,96,42,4,8,4,2,0,0,15,9,0,1,25,small_model_sample_review,adequate_outcome_cell,high_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,1,811,811,128,683,128,683,2525574.417518565,379969.442014303,15.044872143883676,fitted,NA,NA,45,766,686.8953487707919,521.8824910288354,1.015153231697511,1,128,44,9,11,2,2,0,0,7,5,0,5,14,adequate_model_sample,adequate_outcome_cell,moderate_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,1,379,379,53,326,53,326,1242519.131294217,165187.060190761,13.294528513110372,fitted,NA,NA,15,364,297.09617897639447,246.6868499013681,1.031939006509695,3,53,14,6,8,0,4,0,0,1,7,0,2,8,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
