outcome,model_stage,term,term_variable,main_odds_ratio,main_p_value,main_conf_low_or,main_conf_high_or,strict_odds_ratio,strict_p_value,strict_conf_low_or,strict_conf_high_or,main_direction,strict_direction,same_direction,main_significant_05,strict_significant_05,both_significant_05,either_significant_05,absolute_log_or_difference,robustness_status
a_H1CO13_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.8458511490548802,0.3694631847297767,0.5870321028630637,1.218782010162665,0.813665637018814,0.30908125979338436,0.5470979311548501,1.2101156505339552,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.03879388109993992,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,1.9610018014343624,0.1255071971807864,0.8297761519386181,4.634416229298047,2.1003224169249366,0.10162438507463024,0.8652963112398063,5.098085127297918,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.0686353989693208,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,1.527298581197327,0.2312988022054259,0.7641013042131853,3.0527901775136317,1.577524910570228,0.1999267047353429,0.786436196482931,3.1643823804130045,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.03235656484578919,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M1_family_context,a_age_wave1,a_age_wave1,1.0184818386872605,0.9523592550149624,0.558837747214343,1.8561832319067073,1.0452253910304845,0.8894451893634351,0.560550090756874,1.9489714408567904,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.025919422262221794,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M1_family_context,a_grade_wave111,a_grade_wave1,1.415247696937513,0.49906727254123007,0.517717725022306,3.868760807060715,1.402134021572063,0.5099777252739373,0.5137211290809245,3.8269397600349695,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.009309189438443777,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M1_family_context,a_grade_wave112,a_grade_wave1,1.248577912673874,0.7487913150141035,0.32131115930974646,4.851829010128501,1.2072000172727118,0.7880203245353135,0.3063877596233272,4.756495114213694,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.033701591036127715,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M1_family_context,num_H1WP132,num_H1WP13,0.08742231913858171,0.04105501542623058,0.00853651551148001,0.8952905753278467,0.0867596249748997,0.04081623207074884,0.00843429252058568,0.8924557107088025,lower_odds,lower_odds,TRUE,TRUE,TRUE,TRUE,TRUE,0.007609254387332509,robust_significant_same_direction
a_H1CO13_yesno,M1_family_context,num_H1WP133,num_H1WP13,0.2821361585205381,0.25543006716724903,0.03202172603914021,2.485837641838231,0.2804814046144094,0.2539432751284276,0.03173066351457633,2.4792995046678725,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.0058823569900854356,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M1_family_context,num_H1WP134,num_H1WP13,0.35499105474919856,0.34690743769776333,0.04117886080061164,3.0602752602149854,0.3535258173174118,0.34559146579050215,0.04089895949154563,3.055835773420573,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.004136075168809539,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M1_family_context,num_H1WP135,num_H1WP13,0.4186941856237473,0.42846103118383705,0.04869091852548531,3.600359705339644,0.4110129269738762,0.4200155290612616,0.04751142663884268,3.5555999491188484,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.018516119700141553,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M3_knowledge_attitudes,a_age_wave1,a_age_wave1,0.7605031462809224,0.22799095806092545,0.4876441267769981,1.1860391702567783,0.7605031462809224,0.22799095806092545,0.4876441267769981,1.1860391702567783,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M3_knowledge_attitudes,a_grade_wave112,a_grade_wave1,2.5533622536213216,0.07739967302431608,0.9046622528530486,7.206732432636597,2.5533622536213216,0.07739967302431608,0.9046622528530486,7.206732432636597,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M3_knowledge_attitudes,a_grade_wave111,a_grade_wave1,1.8578046452795032,0.13172505646931965,0.8316947503857841,4.149885638235832,1.8578046452795032,0.13172505646931965,0.8316947503857841,4.149885638235832,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0,same_direction_not_statistically_prioritized
a_H1CO13_yesno,M3_knowledge_attitudes,num_H1BC74,num_H1BC7,4.869509499242264,0.13948564326449375,0.5991221356020826,39.57811163057988,4.869509499242264,0.13948564326449375,0.5991221356020826,39.57811163057988,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0,same_direction_not_statistically_prioritized
